
                                                    
         »—’ќƒЌџ… ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я           
                                                    
 -------------------------------------------------- 
 | є отсчета  | ”гол в градусах   |  –адиус в мм  | 
                    +   0.00000036 * cos( 2*pi/256 * k * 82 ) -   0.00000014 * sin( 2*pi/256 * k * 82 ) 
                    -   0.00000146 * cos( 2*pi/256 * k * 83 ) -   0.00000331 * sin( 2*pi/256 * k * 83 ) 
                    +   0.00000144 * cos( 2*pi/256 * k * 84 ) -   0.00000200 * sin( 2*pi/256 * k * 84 ) 
                    -   0.00000332 * cos( 2*pi/256 * k * 85 ) -   0.00000276 * sin( 2*pi/256 * k * 85 ) 
                    -   0.00000110 * cos( 2*pi/256 * k * 86 ) +   0.00000409 * sin( 2*pi/256 * k * 86 ) 
                    +   0.00000193 * cos( 2*pi/256 * k * 87 ) +   0.00000195 * sin( 2*pi/256 * k * 87 ) 
                    -   0.00000062 * cos( 2*pi/256 * k * 88 ) -   0.00000051 * sin( 2*pi/256 * k * 88 ) 
                    +   0.00000063 * cos( 2*pi/256 * k * 89 ) -   0.00000101 * sin( 2*pi/256 * k * 89 ) 
                    +   0.00000066 * cos( 2*pi/256 * k * 90 ) -   0.00000012 * sin( 2*pi/256 * k * 90 ) 
                    +   0.00000045 * cos( 2*pi/256 * k * 91 ) -   0.00000183 * sin( 2*pi/256 * k * 91 ) 
                    +   0.00000087 * cos( 2*pi/256 * k * 92 ) +   0.00000192 * sin( 2*pi/256 * k * 92 ) 
                    +   0.00000069 * cos( 2*pi/256 * k * 93 ) -   0.00000408 * sin( 2*pi/256 * k * 93 ) 
                    -   0.00000028 * cos( 2*pi/256 * k * 94 ) +   0.00000007 * sin( 2*pi/256 * k * 94 ) 
                    -   0.00000003 * cos( 2*pi/256 * k * 95 ) -   0.00000182 * sin( 2*pi/256 * k * 95 ) 
                    -   0.00000156 * cos( 2*pi/256 * k * 96 ) -   0.00000129 * sin( 2*pi/256 * k * 96 ) 
                    +   0.00000004 * cos( 2*pi/256 * k * 97 ) -   0.00000196 * sin( 2*pi/256 * k * 97 ) 
                    -   0.00000301 * cos( 2*pi/256 * k * 98 ) +   0.00000352 * sin( 2*pi/256 * k * 98 ) 
                    -   0.00000205 * cos( 2*pi/256 * k * 99 ) +   0.00000039 * sin( 2*pi/256 * k * 99 ) 
                    -   0.00000422 * cos( 2*pi/256 * k *100 ) +   0.00000038 * sin( 2*pi/256 * k *100 ) 
                    +   0.00000230 * cos( 2*pi/256 * k *101 ) +   0.00000010 * sin( 2*pi/256 * k *101 ) 
                    +   0.00000115 * cos( 2*pi/256 * k *102 ) -   0.00000046 * sin( 2*pi/256 * k *102 ) 
                    -   0.00000317 * cos( 2*pi/256 * k *103 ) +   0.00000158 * sin( 2*pi/256 * k *103 ) 
                    -   0.00000141 * cos( 2*pi/256 * k *104 ) -   0.00000266 * sin( 2*pi/256 * k *104 ) 
                    -   0.00000056 * cos( 2*pi/256 * k *105 ) -   0.00000201 * sin( 2*pi/256 * k *105 ) 
                    +   0.00000279 * cos( 2*pi/256 * k *106 ) -   0.00000478 * sin( 2*pi/256 * k *106 ) 
                    -   0.00000006 * cos( 2*pi/256 * k *107 ) +   0.00000412 * sin( 2*pi/256 * k *107 ) 
                    -   0.00000304 * cos( 2*pi/256 * k *108 ) +   0.00000154 * sin( 2*pi/256 * k *108 ) 
                    -   0.00000336 * cos( 2*pi/256 * k *109 ) -   0.00000030 * sin( 2*pi/256 * k *109 ) 
                    +   0.00000227 * cos( 2*pi/256 * k *110 ) +   0.00000199 * sin( 2*pi/256 * k *110 ) 
                    -   0.00000267 * cos( 2*pi/256 * k *111 ) +   0.00000122 * sin( 2*pi/256 * k *111 ) 
                    +   0.00000405 * cos( 2*pi/256 * k *112 ) +   0.00000294 * sin( 2*pi/256 * k *112 ) 
                    +   0.00000206 * cos( 2*pi/256 * k *113 ) +   0.00000223 * sin( 2*pi/256 * k *113 ) 
                    -   0.00000128 * cos( 2*pi/256 * k *114 ) +   0.00000016 * sin( 2*pi/256 * k *114 ) 
                    +   0.00000005 * cos( 2*pi/256 * k *115 ) -   0.00000151 * sin( 2*pi/256 * k *115 ) 
                    -   0.00000398 * cos( 2*pi/256 * k *116 ) +   0.00000152 * sin( 2*pi/256 * k *116 ) 
                    -   0.00000060 * cos( 2*pi/256 * k *117 ) -   0.00000239 * sin( 2*pi/256 * k *117 ) 
                    -   0.00000547 * cos( 2*pi/256 * k *118 ) -   0.00000230 * sin( 2*pi/256 * k *118 ) 
                    -   0.00000054 * cos( 2*pi/256 * k *119 ) +   0.00000025 * sin( 2*pi/256 * k *119 ) 
                    +   0.00000043 * cos( 2*pi/256 * k *120 ) +   0.00000400 * sin( 2*pi/256 * k *120 ) 
                    -   0.00000327 * cos( 2*pi/256 * k *121 ) +   0.00000205 * sin( 2*pi/256 * k *121 ) 
                    +   0.00000184 * cos( 2*pi/256 * k *122 ) +   0.00000053 * sin( 2*pi/256 * k *122 ) 
                    -   0.00000417 * cos( 2*pi/256 * k *123 ) -   0.00000042 * sin( 2*pi/256 * k *123 ) 
                    +   0.00000516 * cos( 2*pi/256 * k *124 ) +   0.00000003 * sin( 2*pi/256 * k *124 ) 
                    +   0.00000025 * cos( 2*pi/256 * k *125 ) -   0.00000719 * sin( 2*pi/256 * k *125 ) 
                    +   0.00000155 * cos( 2*pi/256 * k *126 ) +   0.00000209 * sin( 2*pi/256 * k *126 ) 
                    -   0.00000359 * cos( 2*pi/256 * k *127 ) -   0.00000078 * sin( 2*pi/256 * k *127 ) 
 ---------------------------------------------------------------------------------------------------- 	
														
   1 а€ ѕ–ќ»«¬ќƒЌјя –яƒј ‘”–№≈ ќѕ»—џ¬јёў≈√ќ ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я    					
														
 1 а€ производна€ результата( k ) =       0.00000000 
                    -   0.00000006 * cos( 2*pi/256 * k *  1 ) -   0.00000030 * sin( 2*pi/256 * k *  1 ) 
                    +   0.00000017 * cos( 2*pi/256 * k *  2 ) -   0.00000127 * sin( 2*pi/256 * k *  2 ) 
                    -   0.00000326 * cos( 2*pi/256 * k *  3 ) -   0.22089407 * sin( 2*pi/256 * k *  3 ) 
                    -   0.00000015 * cos( 2*pi/256 * k *  4 ) +   0.00000227 * sin( 2*pi/256 * k *  4 ) 
